x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,label
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,ROI
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,ROI
-1,0,0,1,-1,0,0,0,-1,0,0,0,-1,0,0,0,ROI
0,0,0,1,0,0,0,1,-1,0,0,1,-1,-1,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,ROI
2,1,1,0,2,1,0,-1,1,0,0,-1,0,0,-1,-2,NROI
1,0,0,1,1,0,0,1,0,0,-1,0,0,-1,-1,-1,NROI
2,-1,-4,-4,3,-1,-3,-2,1,0,-1,1,1,0,1,5,NROI
-21,-12,-1,6,-19,-9,1,9,-15,-4,6,14,-9,2,13,20,NROI
-19,-8,-2,5,-16,-5,0,6,-11,-1,3,8,-5,4,6,9,NROI
1,4,3,1,0,3,2,-1,0,2,-1,-3,0,0,-3,-6,NROI
0,0,2,2,-1,-1,1,2,-4,-3,0,1,-6,-4,-1,0,NROI
2,2,0,-2,1,1,0,-2,0,0,0,-3,-1,-1,-2,-4,NROI
5,3,0,-3,5,2,-1,-4,4,1,-1,-5,3,0,-3,-6,NROI
3,2,0,-1,2,1,0,-1,1,0,0,-2,0,-1,-2,-3,NROI
3,2,1,0,3,1,0,0,2,0,-1,-1,0,-1,-2,-3,NROI
2,2,1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-2,NROI
2,2,1,1,1,1,1,0,0,0,0,0,-1,-2,-2,-2,NROI
1,1,1,1,0,0,0,0,0,0,0,0,-2,-2,-2,-2,NROI
1,1,1,1,0,0,0,0,0,0,0,0,-2,-2,-2,-2,NROI
2,2,1,1,1,1,0,0,1,0,-1,-1,-1,-1,-2,-2,NROI
1,1,1,1,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
1,1,1,1,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
1,1,1,1,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
1,1,1,1,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
1,1,1,1,0,0,0,1,-1,-1,-1,0,-2,-2,-2,-2,NROI
0,1,1,1,0,0,0,1,-1,-1,-1,0,-2,-2,-2,-1,NROI
2,1,1,1,1,1,0,0,0,0,-1,-1,-1,-2,-2,-2,NROI
0,1,1,1,0,0,1,1,-1,-1,0,0,-3,-2,-2,-2,NROI
2,2,2,1,1,1,1,0,0,0,0,0,-1,-1,-2,-2,NROI
1,1,1,1,0,0,0,0,0,0,0,0,-2,-2,-2,-2,NROI
1,1,1,0,0,0,0,0,0,0,0,-1,-2,-2,-2,-3,NROI
1,1,1,2,0,0,0,1,-1,-1,0,0,-2,-2,-2,-1,NROI
1,1,2,2,0,1,1,1,0,0,0,0,-2,-2,-1,-1,NROI
1,1,1,1,0,0,0,1,-1,-1,-1,0,-2,-2,-2,-1,NROI
1,1,2,2,0,0,1,1,-1,-1,0,0,-2,-2,-2,-1,NROI
1,1,0,0,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
0,1,2,2,-1,0,1,2,-2,-1,0,1,-2,-2,-1,0,NROI
2,2,-1,-11,1,2,-1,-8,0,1,0,-4,-1,0,0,0,NROI
6,-1,-8,-14,8,1,-6,-13,12,5,-2,-10,17,10,2,-6,NROI
2,0,-1,-2,3,0,-1,-3,4,0,-2,-4,7,1,-2,-4,NROI
-1,0,1,2,-1,0,1,2,-1,-1,0,2,-1,-1,0,1,NROI
-3,-1,1,1,-3,-1,0,1,-3,-1,0,1,-3,-2,0,0,NROI
-1,0,0,0,-1,0,0,0,-1,0,0,0,-2,-1,-1,-1,NROI
